gross,movie_title
41797066,Aliens vs. Predator: Requiem 
85200000,Aliens 
36733909,Alive 
33860010,All About Steve 
25482931,All About the Benjamins 
578382,All Good Things 
4556,All Is Bright 
6262942,All Is Lost 
112935,All or Nothing 
7221458,All the King's Men 
15527125,All the Pretty Horses 
22723,All the Queen's Men 
548712,All the Real Girls 
66002193,Allegiant 
32522352,Almost Famous 
52961,Aloft 
20991497,Aloha 
20991497,Aloha 
5132655,Alone in the Dark 
10018,Alone with Her 
74058698,Along Came a Spider 
87856565,Along Came Polly 
25077977,Alpha and Omega 
133103929,Alvin and the Chipmunks: Chipwrecked 
85884815,Alvin and the Chipmunks: The Road Chip 
219613391,Alvin and the Chipmunks: The Squeakquel 
217326336,Alvin and the Chipmunks 
51600000,Amadeus 
274299,Amen. 
130058047,American Beauty 
902835,American Desi 
7156725,American Dreamz 
130127620,American Gangster 
115000000,American Graffiti 
6712241,American History X 
150117807,American Hustle 
4000000,American Ninja 2: The Confrontation 
13264986,American Outlaws 
145096820,American Pie 2 
101736215,American Pie 
15047419,American Psycho 
56724080,American Reunion 
350123553,American Sniper 
6003587,American Splendor 
104354205,American Wedding 
93607673,America's Sweethearts 
183490,Amigo 
44175394,Amistad 
64359,Among Giants 
15447,An Alan Smithee Film: Burn Hollywood Burn 
7001720,An American Carol 
16298046,An American Haunting 
12574715,An Education 
75078,An Everlasting Piece 
18535191,An Ideal Husband 
23808111,An Inconvenient Truth 
8535575,An Unfinished Life 
65557989,Anaconda 
31526393,Anacondas: The Hunt for the Blood Orchid 
32122249,Analyze That 
106694016,Analyze This 
58297830,Anastasia 
2175312,Anchorman 2: The Legend Continues 
84136909,Anchorman: The Legend of Ron Burgundy 
15155772,And So It Goes 
24044532,Angel Eyes 
13038660,Angela's Ashes 
133375846,Angels & Demons 
141600000,Animal House 
39251128,Anna and the King 
12802907,Anna Karenina 
84263837,Annabelle 
8000000,Annie Get Your Gun 
39200000,Annie Hall 
85911262,Annie 
3442820,Anomalisa 
4463292,Anonymous 
1316074,Another Earth 
3205244,Another Year 
4914,Antarctic Edge: 70° South 
287761,Antarctica: A Year on Ice 
10965209,Antitrust 
180191634,Ant-Man 
21078145,Antwone Fisher 
90646554,Antz 
75530832,Any Given Sunday 
3203044,Anything Else 
18653615,Anywhere But Here 
78800000,Apocalypse Now 
172071312,Apollo 13 
17683670,Apollo 18 
20207003,Appaloosa 
12947763,April Fool's Day 
5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters 
18595716,Aquamarine 
53133888,Arachnophobia 
1554566,Ararat 
7918283,Arbitrage 
82301521,Are We There Yet? 
136019448,Argo 
24362501,Arlington Road 
201573391,Armageddon 
15988876,Armored 
11501093,Army of Darkness 
23616,Arnolds Park 
24004159,Around the World in 80 Days 
24004159,Around the World in 80 Days 
15131330,Arthur and the Invisibles 
46440491,Arthur Christmas 
21197315,"As Above, So Below "
147637474,As Good as It Gets 
30306268,Assassins 
19976073,Assault on Precinct 13 
19548064,Astro Boy 
22326247,At First Sight 
21160089,ATL 
84037039,Atlantis: The Lost Empire 
3333823,Atlas Shrugged II: The Strike 
830210,Atlas Shrugged: Who Is John Galt? 
50921738,Atonement 
1024175,Attack the Block 
31655091,August Rush 
37738400,August: Osage County 
213079163,Austin Powers in Goldmember 
53868030,Austin Powers: International Man of Mystery 
205399422,Austin Powers: The Spy Who Shagged Me 
49551662,Australia 
2062066,Auto Focus 
37752931,Autumn in New York 
760505847,Avatar 
458991599,Avengers: Age of Ultron 
80281096,AVP: Alien vs. Predator 
14373825,Awake 
9430988,Away We Go 
16892,Ayurveda: Art of Being 
18318000,Babe: Pig in the City 
66600000,Babe 
34300771,Babel 
28734552,Baby Boy 
27141959,Baby Geniuses 
60269340,Baby Mama 
22531698,Babylon A.D. 
16671505,Baby's Day Out 
418268,Bachelorette 
118500000,Back to the Future Part II 
87666629,Back to the Future Part III 
210609762,Back to the Future 
138396624,Bad Boys II 
65807024,Bad Boys 
30157016,Bad Company 
101978840,Bad Grandpa 
1697956,Bad Lieutenant: Port of Call New Orleans 
55461307,Bad Moms 
55461307,Bad Moms 
60057639,Bad Santa 
100292856,Bad Teacher 
7764027,Bad Words 
21564616,Baggage Claim 
140016,Baghead 
14294842,Ballistic: Ecks vs. Sever 
102797150,Bambi 
2185266,Bamboozled 
41523271,Bandits 
5205343,Bandslam 
15279680,Bangkok Dangerous 
64955956,Barbershop 2: Back in Business 
75074950,Barbershop 
11144518,Barney's Great Adventure 
7501404,Barney's Version 
72601713,Barnyard 
5851188,Basic Instinct 2 
26536120,Basic 
2961991,Basquiat 
107285004,Batman & Robin 
205343774,Batman Begins 
184031112,Batman Forever 
162831698,Batman Returns 
330249062,Batman v Superman: Dawn of Justice 
251188924,Batman 
10149779,Bats 
83552429,Battle Los Angeles 
8888355,Battle of the Year 
21471685,Battlefield Earth 
65173160,Battleship 
55808744,Be Cool 
11169531,Be Kind Rewind 
27854896,Beastly 
869325,Beastmaster 2: Through the Portal of Time 
12784397,Beasts of the Southern Wild 
19445217,Beautiful Creatures 
36310118,Beauty Shop 
63071133,Beavis and Butt-Head Do America 
42640890,Because I Said So 
32645546,Because of Winn-Dixie 
18663911,Becoming Jane 
37879996,Bedazzled 
109993847,Bedtime Stories 
126597121,Bee Movie 
475000,Beer League 
19179969,Beerfest 
73326666,Beetlejuice 
2963012,Before I Go to Sleep 
8114507,Before Midnight 
5400000,Before Sunrise 
5792822,Before Sunset 
16168741,Begin Again 
5776314,Beginners 
59068786,Behind Enemy Lines 
22858926,Being John Malkovich 
7739049,Being Julia 
8108247,Bella 
22843047,Beloved 
32541719,Bend It Like Beckham 
39552600,Benji 
82161969,Beowulf 
9203192,Bernie 
18621249,Best in Show 
3799339,Better Luck Tomorrow 
94497271,Beverly Hills Chihuahua 
153665036,Beverly Hills Cop II 
42610000,Beverly Hills Cop III 
234760500,Beverly Hills Cop 
4426297,Beyond Borders 
56129,Beyond the Black Rainbow 
14612840,Beyond the Lights 
2047570,Beyond the Mat 
6144806,Beyond the Sea 
9000000,Beyond the Valley of the Dolls 
58220776,Bicentennial Man 
163479795,Big Daddy 
14479776,Big Eyes 
47811275,Big Fat Liar 
47811275,Big Fat Liar 
66257002,Big Fish 
222487711,Big Hero 6 
20113965,Big Miracle 
70163652,Big Momma's House 2 
117559438,Big Momma's House 
37911876,"Big Mommas: Like Father, Like Son "
11100000,Big Trouble in Little China 
7262288,Big Trouble 
114968774,Big 
38037513,Bill & Ted's Bogus Journey 
40485039,Bill & Ted's Excellent Adventure 
21994911,Billy Elliot 
42335698,Birdman or (The Unexpected Virtue of Ignorance) 
5005883,Birth 
4919896,Birthday Girl 
16235293,Black Christmas 
108638745,Black Hawk Down 
33422806,Black Knight 
62563543,Black Mass 
7017178,Black Nativity 
21569041,Black or White 
45645204,Black Rain 
9396487,Black Snake Moan 
106952327,Black Swan 
7097125,Blackhat 
199652,Blackthorn 
81645152,Blade II 
27000000,Blade Runner 
52397389,Blade: Trinity 
70001065,Blade 
118153533,Blades of Glory 
26494611,Blast from the Past 
119500000,Blazing Saddles 
46280507,Blended 
29374178,Bless the Child 
3073392,Blindness 
5561,Blonde Ambition 
3525161,Blood and Chocolate 
1075288,Blood and Wine 
57366262,Blood Diamond 
82739,Blood Done Sign My Name 
4496583,"Blood In, Blood Out "
41229,Blood Ties 
26199517,Blood Work 
1550000,BloodRayne 
11806119,Bloodsport 
768045,Bloody Sunday 
52937130,Blow 
464126,Blue Car 
40118420,Blue Crush 
33404871,Blue Jasmine 
594904,Blue Like Jazz 
258113,Blue Ruin 
68208190,Blue Streak 
9701559,Blue Valentine 
8586376,Boat Trip 
2694071,Bobby Jones: Stroke of Genius 
11204499,Bobby 
39380442,Body of Lies 
4357000,Bogus 
16938179,Boiler Room 
114053579,Bolt 
46363118,Boogeyman 
26384919,Boogie Nights 
26421314,Book of Shadows: Blair Witch 2 
70100000,Boomerang 
128505958,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 
70001698,Born on the Fourth of July 
21199,Born to Fly: Elizabeth Streb vs. Gravity 
1040879,Bottle Rocket 
4040588,Bottle Shock 
3798532,Bound 
66365290,Bowfinger 
21244913,Bowling for Columbine 
25359200,Boyhood 
3123749,Boynton Beach Club 
20627372,Boys and Girls 
11533945,Boys Don't Cry 
57504069,Boyz n the Hood 
59992760,Brüno 
82522790,Bram Stoker's Dracula 
110029,Bran Nue Dae 
237282182,Brave 
75600000,Braveheart 
9929000,Brazil 
50129186,Breakdown 
175370,Breakfast of Champions 
11827301,Breakin' All the Rules 
76382,Breaking Upwards 
1094998,Brick Lane 
20285518,Brick Mansions 
6601079,Bride & Prejudice 
32368960,Bride of Chucky 
58715510,Bride Wars 
169076745,Bridesmaids 
72306065,Bridge of Spies 
82234139,Bridge to Terabithia 
40203020,Bridget Jones: The Edge of Reason 
71500556,Bridget Jones's Diary 
798341,Brigham City 
16118077,"Bright Lights, Big City "
4440055,Bright Star 
68353550,Bring It On 
132541238,Bringing Down the House 
16640210,Bringing Out the Dead 
83025853,Brokeback Mountain 
10114315,Brokedown Palace 
70450000,Broken Arrow 
19692608,Broken City 
13493,Broken Vessels 
104792,Bronson 
398420,Brooklyn Rules 
38317535,Brooklyn 
27154426,Brooklyn's Finest 
447750,Brother 
444044,Brotherly Love 
28501651,Brothers 
28501651,Brothers 
27362712,Brown Sugar 
242589580,Bruce Almighty 
5002310,Bubble Boy 
2331318,Bucky Larson: Born to Be a Star 
2365931,Buffalo '66 
353743,Buffalo Soldiers 
9483821,Bullet to the Head 
23020488,Bulletproof Monk 
13383737,Bullets Over Broadway 
510092,Bully 
26525834,Bulworth 
1028658,Buried 
39440655,Burlesque 
60338891,Burn After Reading 
111300,Burn 
13650738,Burnt 
2199853,But I'm a Cheerleader 
102308900,Butch Cassidy and the Sundance Kid 
531009,By the Sea 
46451,Ca$h 
39800000,Caddyshack 
8134217,Cadillac Records 
215185,Call + Response 
25339117,Can't Hardly Wait 
2000000,Can't Stop the Music 
79100000,Cape Fear 
14359793,Capitalism: A Love Story 
28747570,Capote 
407197282,Captain America: Civil War 
176636816,Captain America: The First Avenger 
259746958,Captain America: The Winter Soldier 
25528495,Captain Corelli's Mandolin 
107100855,Captain Phillips 
2557668,Captive 
1000000,Caravans 
145118,Carlos             
35266619,Carrie 
35266619,Carrie 
90820,Carriers 
191450875,Cars 2 
244052771,Cars 
13248477,Case 39 
1039869,Casino Jack 
167007184,Casino Royale 
167007184,Casino Royale 
42438300,Casino 
100328194,Casper 
233630478,Cast Away 
4291965,Catch a Fire 
164435221,Catch Me If You Can 
16702864,Catch That Kid 
43575716,Cats & Dogs: The Revenge of Kitty Galore 
93375151,Cats & Dogs 
3562749,Cats Don't Dance 
40198710,Catwoman 
70071,Cavite 
1276984,Cecil B. DeMented 
6857503,Cedar Rapids 
5032496,Celebrity 
3094687,Celeste & Jesse Forever 
32003620,Cellular 
17174870,Center Stage 
126088877,Central Intelligence 
122288,Centurion 
7826,Certifiably Jonathan 
2708188,Chéri 
143000,Chain Letter 
20550712,Chain Reaction 
306715,Chairman of the Board 
35707327,Changeling 
66790248,Changing Lanes 
31569268,Chappie 
58800000,Chariots of Fire 
206456431,Charlie and the Chocolate Factory 
3950294,Charlie Bartlett 
31136950,Charlie St. Cloud 
66636385,Charlie Wilson's War 
100685880,Charlie's Angels: Full Throttle 
125305545,Charlie's Angels 
82506325,Charlotte's Web 
12006514,Chasing Amy 
12189514,Chasing Liberty 
12189514,Chasing Liberty 
6002756,Chasing Mavericks 
6126237,Chasing Papi 
59379,Cheap Thrills 
82569532,Cheaper by the Dozen 2 
138614544,Cheaper by the Dozen 
18112929,Chernobyl Diaries 
170684505,Chicago 
135381507,Chicken Little 
106793915,Chicken Run 
1206135,Child 44 
35286428,Children of Men 
28501605,Child's Play 2 
33244684,Child's Play 
11227940,Chill Factor 
3074838,Chloe 
71309760,Chocolat 
2926565,Choke 
73701902,Christmas with the Kranks 
64572496,Chronicle 
1050600,Chuck & Buck 
61644321,Cinderella Man 
201148159,Cinderella 
201148159,Cinderella 
13838130,Cirque du Freak: The Vampire's Assistant 
12495865,Cirque du Soleil: Worlds Away 
22433915,City by the Sea 
20300000,City Hall 
6670712,City Island 
78745923,City of Angels 
7871693,City of Ember 
325491,City of Ghosts 
243347,Civil Brand 
163192114,Clash of the Titans 
163192114,Clash of the Titans 
1789892,Clay Pigeons 
122012710,Clear and Present Danger 
57750000,Cleopatra 
24138847,Clerks II 
3151130,Clerks 
137340146,Click 
84049211,Cliffhanger 
36985501,Clockstoppers 
444354,Clockwatchers 
128300000,Close Encounters of the Third Kind 
33987757,Closer 
27098580,Cloud Atlas 
119793567,Cloudy with a Chance of Meatballs 2 
124870275,Cloudy with a Chance of Meatballs 
80034302,Cloverfield 
4992159,Club Dread 
56631572,Clueless 
67253092,Coach Carter 
79900000,Coal Miner's Daughter 
197148,Code 46 
8104069,Code Name: The Cleaner 
95632614,Cold Mountain 
40048332,Collateral Damage 
100003492,Collateral 
4693919,College 
36665854,Colombiana 
117560,Come Early Morning 
3105269,Compadres 
318622,Compliance 
101087161,Con Air 
37567440,Conan the Barbarian 
37567440,Conan the Barbarian 
26400000,Conan the Destroyer 
34531832,Concussion 
29302097,Confessions of a Teenage Drama Queen 
12212417,Confidence 
81022333,Congo 
8054280,Connie and Carla 
76081498,Conspiracy Theory 
100853835,Contact 
75638743,Contagion 
66489425,Contraband 
871577,Control 
379122,Conversations with Other Women 
68856263,Cool Runnings 
44886089,Cop Land 
44867349,Cop Out 
32051917,Copycat 
352786,Copying Beethoven 
75280058,Coraline 
756452,Coriolanus 
23978402,Corky Romano 
53337608,Corpse Bride 
20218921,Country Strong 
109176215,Couples Retreat 
58918501,Courage Under Fire 
2246000,Courage 
34522221,Courageous 
60786269,Coyote Ugly 
34604054,Cradle 2 the Grave 
2899970,Cradle Will Rock 
13630226,Crank: High Voltage 
27829874,Crank 
54557348,Crash 
54557348,Crash 
39462438,Crazy Heart 
1954202,Crazy in Alabama 
84244877,"Crazy, Stupid, Love. "
16929123,Crazy/Beautiful 
62480,Creative Control 
109712885,Creed 
14000000,Creepshow 2 
14268533,Criminal 
91400000,Crimson Tide 
141853,Critical Care 
109306210,Crocodile Dundee II 
25590119,Crocodile Dundee in Los Angeles 
174635000,Crocodile Dundee 
13640000,Crooklyn 
7009668,Crossover 
37188667,Crossroads 
37188667,Crossroads 
38201895,Cruel Intentions 
5899797,Cry Freedom 
10042266,Cry_Wolf 
489220,Cube 
58336565,Curious George 
19294901,Cursed 
11000000,Cutthroat Island 
7455447,Cyrus 
96793,D.E.B.S. 
821997,Déjà Vu 
13235267,Daddy Day Camp 
104148781,Daddy Day Care 
150315155,Daddy's Home 
27296514,Dallas Buyers Club 
1007535,Damsels in Distress 
25615792,Dance Flick 
4157491,Dancer in the Dark 
565592,"Dancer, Texas Pop. 81 "
184208848,Dances with Wolves 
34700000,Dangerous Liaisons 
34700000,Dangerous Liaisons 
5348317,Danny Collins 
67155742,Dante's Peak 
9059588,Dark Blue 
14337579,Dark City 
79711678,Dark Shadows 
25472967,Dark Water 
32131483,Darkness Falls 
22160085,Darkness 
793352,Darling Companion 
5000000,Darling Lili 
48546578,Date Movie 
98711404,Date Night 
11694528,Dave Chappelle's Block Party 
58885635,Dawn of the Dead 
58885635,Dawn of the Dead 
208543795,Dawn of the Planet of the Apes 
29975979,Daybreakers 
32885565,Daylight 
82670733,Days of Thunder 
7993039,Dazed and Confused 
10880926,Dead Man Down 
15062898,Dead Man on Campus 
39025000,Dead Man Walking 
6013,Dead Man's Shoes 
95860116,Dead Poets Society 
65804,Deadfall 
363024263,Deadpool 
1340891,Dear Frankie 
80014842,Dear John 
23106,Dear Wendy 
8579684,Death at a Funeral 
8579684,Death at a Funeral 
58422650,Death Becomes Her 
36064910,Death Race 
9525276,Death Sentence 
8355815,Death to Smoochy 
151389,Deceptive Practice: The Mysteries and Mentors of Ricky Jay 
35092918,Deck the Halls 
10569071,Deconstructing Harry 
73648142,Deep Blue Sea 
140459099,Deep Impact 
11146409,Deep Rising 
37606,Defendor 
31973840,"Definitely, Maybe "
511920,Delgo 
30523568,Deliver Us from Evil 
30659817,Delivery Man 
13337299,De-Lovely 
36020063,Derailed 
99147,Desert Blue 
143653,Desert Dancer 
25625110,Desperado 
368049635,Despicable Me 2 
251501645,Despicable Me 
1332,Detention of the Dead 
144583,Deterrence 
4193025,Detroit Rock City 
22264487,Deuce Bigalow: European Gigolo 
65535067,Deuce Bigalow: Male Gigolo 
6044618,Deuces Wild 
33583175,Devil 
15818967,Devil's Due 
43800000,Diamonds Are Forever 
50382128,Diary of a Mad Black Woman 
49002815,Diary of a Wimpy Kid: Dog Days 
52691009,Diary of a Wimpy Kid: Rodrick Rules 
64001297,Diary of a Wimpy Kid 
952620,Diary of the Dead 
103738726,Dick Tracy 
6241697,Dick 
22734486,Dickie Roberts: Former Child Star 
29580087,Did You Hear About the Morgans? 
160201106,Die Another Day 
117541000,Die Hard 2 
100012500,Die Hard with a Vengeance 
81350242,Die Hard 
9628751,Digimon: The Movie 
129319,Dil Jo Bhi Kahey... 
14100000,Diner 
72980108,Dinner for Schmucks 
110000,Dinner Rush 
137748063,Dinosaur 
35537564,Dirty Grandpa 
8111360,Dirty Pretty Things 
9975684,Dirty Work 
14174654,Disaster Movie 
83000000,Disclosure 
115646235,District 9 
80050171,Disturbia 
80050171,Disturbia 
17411331,Disturbing Behavior 
150832203,Divergent 
69586544,Divine Secrets of the Ya-Ya Sisterhood 
162804648,Django Unchained 
27545445,Do the Right Thing 
12985267,Do You Believe? 
480314,DOA: Dead or Alive 
144156464,Doctor Dolittle 
111722000,Doctor Zhivago 
114324072,Dodgeball: A True Underdog Story 
114324072,Dodgeball: A True Underdog Story 
30651422,Dogma 
1293295,Dogtown and Z-Boys 
42019483,Dolphin Tale 2 
72279690,Dolphin Tale 
7518876,Dolphins and Whales 3D: Tribes of the Ocean 
518134,Dom Hemingway 
45207112,Domestic Disturbance 
10137232,Domino 
24475193,Don Jon 
22200000,Don Juan DeMarco 
18378,Donkey Punch 
41954997,Donnie Brasco 
727883,Donnie Darko 
24042490,Don't Be Afraid of the Dark 
54997476,Don't Say a Word 
7382993,Doogal 
28031250,Doom 
10955425,Doomsday 
17474107,Dope 
30102717,Double Impact 
116735231,Double Jeopardy 
20218,Double Take 
33422556,Doubt 
19421271,Doug's 1st Movie 
58936,Down and Out with the Dolls 
568695,Down in the Valley 
9609,Down Terrace 
64172251,Down to Earth 
20035310,Down to You 
112950721,Dr. Dolittle 2 
16067035,Dr. No 
33000377,Dracula 2000 
55942830,Dracula Untold 
39659,Dracula: Pages from a Virgin's Diary 
28831145,Draft Day 
42057340,Drag Me to Hell 
10956379,Dragon Wars: D-War 
9353573,Dragonball: Evolution 
30063805,Dragonfly 
51317350,DragonHeart 
6000000,Dragonslayer 
21283440,Dream House 
464655,Dream with the Fishes 
33685268,Dreamcatcher 
32701088,Dreamer: Inspired by a True Story 
103338338,Dreamgirls 
7680,Dreaming of Joseph Lees 
13401683,Dredd 
13401683,Dredd 
31899000,Dressed to Kill 
32853640,Drillbit Taylor 
342936,Drinking Buddies 
10706786,Drive Angry 
17843379,Drive Me Crazy 
35054909,Drive 
32616869,Driven 
238774,Driving Lessons 
106593296,Driving Miss Daisy 
10561238,Drop Dead Gorgeous 
15427192,Drowning Mona 
56398162,Drumline 
46729374,"Dude, Where's My Car? "
9694105,Dudley Do-Right 
100448498,Due Date 
20400000,Duel in the Sun 
4734235,Duets 
860002,Duma 
127175354,Dumb & Dumber 
86208010,Dumb and Dumber To 
26096584,Dumb and Dumberer: When Harry Met Lloyd 
27400000,Dune 
9652000,Duplex 
40559930,Duplicity 
1183354,Dylan Dog: Dead of Night 
2223990,DysFunktional Family 
434949459,E.T. the Extra-Terrestrial 
101111837,Eagle Eye 
38916903,Earth to Echo 
4170647,East Is East 
17114882,Eastern Promises 
58401464,Easy A 
2656324,Easy Virtue 
80574010,Eat Pray Love 
5887457,Ed Wood 
15785632,Eddie the Eagle 
15785632,Eddie the Eagle 
1521,Eddie: The Sleepwalking Cannibal 
5824,Eden Lake 
43290977,Edge of Darkness 
100189501,Edge of Tomorrow 
131617,Edmond 
22362500,Edtv 
56362352,Edward Scissorhands 
81593527,Eight Below 
17266505,Eight Legged Freaks 
14879556,Election 
24407944,Elektra 
173381405,Elf 
16264475,Elizabeth: The Golden Age 
30012990,Elizabeth 
26838389,Elizabethtown 
22913677,Ella Enchanted 
93050117,Elysium 
28435406,Employee of the Month 
127706877,Enchanted 
66862068,End of Days 
11703287,End of the Spear 
40983001,End of Watch 
61656849,Ender's Game 
23393765,Endless Love 
51396781,Enemy at the Gates 
111544445,Enemy of the State 
17536788,Enough Said 
39177215,Enough 
336467,Enter the Void 
87704396,Entrapment 
12181484,Envy 
39737645,Epic Movie 
107515297,Epic 
1190018,Equilibrium 
75030163,Eragon 
101228120,Eraser 
125548685,Erin Brockovich 
36500000,Escape from Alcatraz 
25407250,Escape from L.A. 
25244700,Escape from New York 
57011847,Escape from Planet Earth 
169719,Escape from Tomorrow 
25121291,Escape Plan 
106869,Escobar: Paradise Lost 
34126138,Eternal Sunshine of the Spotless Mind 
70527,Eulogy 
17718223,EuroTrip 
100289690,Evan Almighty 
26616590,Event Horizon 
65703412,Ever After: A Cinderella Story 
43247140,Everest 
8855646,Everybody's Fine 
9714482,Everyone Says I Love You 
2711210,Everything Must Go 
14821531,Eve's Bayou 
5923044,Evil Dead II 
54239856,Evil Dead 
49994804,Evita 
25440971,Ex Machina 
1200000,Excessive Force 
68750000,Executive Decision 
2840417,eXistenZ 
51758599,Exit Wounds 
65007045,Exodus: Gods and Kings 
65007045,Exodus: Gods and Kings 
41814863,Exorcist: The Beginning 
5132222,Exotica 
10814185,Extract 
11854694,Extraordinary Measures 
17305211,Extreme Measures 
4835968,Extreme Ops 
31836745,Extremely Loud & Incredibly Close 
53146000,Eye for an Eye 
16459004,Eye of the Beholder 
71904,Eye of the Dolphin 
55637680,Eyes Wide Shut 
25918,Fabled 
112225777,Face/Off 
10174663,Facing the Giants 
1654367,Factory Girl 
119078393,Fahrenheit 9/11 
88658172,Failure to Launch 
9528092,Fair Game 
2104000,Faithful 
8691,Falcon Rising 
22452209,Fame 
60507228,Fantasia 2000 
76400000,Fantasia 
131920333,Fantastic 4: Rise of the Silver Surfer 
56114221,Fantastic Four 
56114221,Fantastic Four 
20999103,Fantastic Mr. Fox 
15854988,Far from Heaven 
16066,Fascination 
209805005,Fast Five 
23225911,Faster 
48114556,Fat Albert 
156645693,Fatal Attraction 
10562387,Fear and Loathing in Las Vegas 
13208023,Feardotcom 
819852,Felicia's Journey 
6592103,Femme Fatale 
42071069,Fever Pitch 
50000000,Fiddler on the Roof 
298110,Fido 
11675178,Fifty Shades of Black 
166147885,Fifty Shades of Grey 
37023395,Fight Club 
5199,Fighting Tommy Riley 
2833383,Filly Brown 
46455802,Final Destination 2 
54098051,Final Destination 3 
42575718,Final Destination 5 
53302314,Final Destination 
32131830,Final Fantasy: The Spirits Within 
1172769,Find Me Guilty 
51768623,Finding Forrester 
