title,avg_valence,avg_arousal,avg_dominance
Runner Runner ,0.458999991,0.746999979,0.632000029
Glee: The 3D Concert Movie ,0.788000003,0.608249992,0.531249993
Executive Decision ,0.515400004,0.597399998,0.829999995
Miss Congeniality ,0.566333334,0.440000008,0.416666667
Jeepers Creepers ,0.42899999,0.558000028,0.365999997
Can't Hardly Wait ,0.295499995,0.448499992,0.489500001
Me and You and Everyone We Know ,0.69933333,0.390999993,0.614333332
"Lovely, Still ",0.911666662,0.45933333,0.596999993
Law Abiding Citizen ,0.692400002,0.382999992,0.727199996
Mo' Better Blues ,0.671000014,0.297666669,0.449000001
Any Given Sunday ,0.776000023,0.195999995,0.393999994
Sugar Town ,0.723500013,0.340499997,0.514499992
Sherlock Holmes: A Game of Shadows ,0.644333343,0.588,0.380666668
Romeo Must Die ,0.124999998,0.615249984,0.36225
Aloft ,0.771000028,0.372999996,0.699999988
Cool Runnings ,0.623200005,0.563200003,0.541199994
First Knight ,0.702499986,0.470500007,0.811499983
The Great Gatsby ,0.905249998,0.673500001,0.826499999
Enemy of the State ,0.508999988,0.614000003,0.703333338
The Good Guy ,0.815799999,0.384600002,0.631399989
V for Vendetta ,0.197999999,0.783999979,0.583000004
The House Bunny ,0.701000015,0.254666661,0.43933334
Independence Day ,0.833333333,0.457333326,0.723999997
The Kids Are All Right ,0.756000002,0.459833334,0.580833326
Drive ,0.625,0.68900001,0.713
Lilo & Stitch ,0.407999992,0.459999993,0.350999996
The Break-Up ,0.610000014,0.264999986,0.370000005
Two Lovers ,0.700499982,0.507999994,0.577000007
Spirit: Stallion of the Cimarron ,0.712750003,0.600000009,0.669750005
Gone with the Wind ,0.407000005,0.405333345,0.376333336
Snake Eyes ,0.508999997,0.4912,0.537600011
Desert Blue ,0.330666676,0.409333328,0.306000002
Tristram Shandy: A Cock and Bull Story ,0.530666679,0.535999984,0.579999993
Do the Right Thing ,0.657000005,0.330599999,0.588199991
Training Day ,0.717500001,0.571999997,0.610499993
Shakespeare in Love ,0.948199999,0.526199996,0.648599994
Eye of the Beholder ,0.683399999,0.363800001,0.500400001
Carriers ,0.532999992,0.588,0.638000011
Arthur and the Invisibles ,0.427499995,0.402999997,0.397
A Beautiful Mind ,0.752833327,0.513500005,0.669333329
The Girl Next Door ,0.644500017,0.380500011,0.431999996
Knockaround Guys ,0.583000004,0.367000014,0.546000004
Zero Effect ,0.63099999,0.595500007,0.672499985
I Spy ,0.25999999,0.68599999,0.529999971
Due Date ,0.510999988,0.344000002,0.385
Spice World ,0.551333318,0.481666664,0.47633333
The Guru ,0.573000014,0.360000014,0.652999997
The Muse ,0.737999996,0.314999998,0.514999996
Close Encounters of the Third Kind ,0.625250002,0.308375001,0.436874997
The Perks of Being a Wallflower ,0.784999996,0.408500001,0.511999995
The Last Exorcism Part II ,0.460666664,0.512000004,0.467166662
Avatar ,0.633000016,0.409999996,0.566999972
Kicking & Screaming ,0.257749997,0.839249998,0.522500001
Stop-Loss ,0.243333337,0.486333321,0.391333332
Big Momma's House ,0.749500006,0.359749999,0.61575
Slam ,0.458999991,0.577000022,0.479999989
Murder by Numbers ,0.234999995,0.612833326,0.556666657
How to Be a Player ,0.556999981,0.688000023,0.643999994
The Sorcerer's Apprentice ,0.496000007,0.523000002,0.542000011
Married Life ,0.829333345,0.649999996,0.699666659
The Big Bounce ,0.588499993,0.610500008,0.598999992
Tremors ,0.104000002,0.833000004,0.455000013
Aliens in the Attic ,0.393200001,0.465399998,0.482400006
Shark Night 3D ,0.51033332,0.550333341,0.491333346
Night at the Museum ,0.687666655,0.337333332,0.453000009
Attack the Block ,0.258250006,0.774250008,0.585750014
Cats & Dogs: The Revenge of Kitty Galore ,0.535800001,0.604799998,0.545399988
Immortals ,0.75,0.692499995,0.828000009
Motherhood ,0.843999982,0.546000004,0.666999996
The Fast and the Furious: Tokyo Drift ,0.228000006,0.662,0.466799998
The Nutcracker ,0.63499999,0.377999991,0.522000015
Sunshine State ,0.758999983,0.448333323,0.762666663
A Cinderella Story ,0.652999997,0.405999988,0.703999996
Romance & Cigarettes ,0.599500008,0.604999989,0.445500001
Dream with the Fishes ,0.749999988,0.290999997,0.369799995
Star Wars: Episode VI - Return of the Jedi ,0.583833334,0.525333345,0.534166669
The Diary of a Teenage Girl ,0.721500009,0.532499999,0.498000003
Howards End ,0.281333332,0.404666672,0.430000007
When Harry Met Sally... ,0.561999977,0.399499997,0.420499995
The Muppet Christmas Carol ,0.826333324,0.450666656,0.555999994
The Day the Earth Stood Still ,0.705749989,0.234249994,0.465000004
The Hobbit: An Unexpected Journey ,0.560750008,0.667500012,0.473000005
Spotlight ,0.688000023,0.352999985,0.518999994
Bad Company ,0.299500003,0.595500007,0.479999997
Eternal Sunshine of the Spotless Mind ,0.761999987,0.427499995,0.746624999
Old School ,0.585666666,0.388000011,0.529333333
Mirror Mirror ,0.676999986,0.310000002,0.437999994
Sling Blade ,0.397499993,0.512500003,0.498999998
Our Brand Is Crisis ,0.38499999,0.547499999,0.488999993
Saw II ,0.316000015,0.541000009,0.518000007
The Time Traveler's Wife ,0.754249997,0.488124996,0.577000014
Quartet ,0.479000002,0.377000004,0.472000003
Wristcutters: A Love Story ,0.898999999,0.506166662,0.657833328
The Age of Adaline ,0.303333332,0.282,0.339333336
Green Room ,0.705499992,0.313749999,0.449500002
Just Like Heaven ,0.792714289,0.404714278,0.577857149
The River Wild ,0.500000015,0.65699999,0.67750001
The Last Days on Mars ,0.581499994,0.47725001,0.478000004
Grandma's Boy ,0.721000016,0.299999997,0.467999995
The Net ,0.404500008,0.398499995,0.500999987
No Reservations ,0.629999995,0.327750005,0.56324999
Little Nicky ,0.38499999,0.159999996,0.213
Money Train ,0.748750001,0.656749994,0.719999999
Star Trek III: The Search for Spock ,0.653399998,0.5412,0.501400006
Fifty Shades of Grey ,0.443199998,0.2794,0.341999996
Obvious Child ,0.7685,0.398000002,0.498999983
The Watcher ,0.561999977,0.400999993,0.702000022
Sweet November ,0.828000009,0.438000003,0.410333335
Disclosure ,0.5,0.61500001,0.709999979
Unfaithful ,0.030999999,0.805999994,0.298000008
A Room for Romeo Brass ,0.672999993,0.317249998,0.488750003
Die Hard with a Vengeance ,0.15233333,0.715666652,0.514666662
Domestic Disturbance ,0.364285705,0.62942857,0.40828572
The Imaginarium of Doctor Parnassus ,0.738000005,0.50500001,0.851000011
Chicken Little ,0.489499986,0.232999995,0.303499997
The Devil Wears Prada ,0.366500009,0.587249994,0.421250001
Prom ,0.52700001,0.439999998,0.404000014
Tucker and Dale vs Evil ,0.378999991,0.551666687,0.446333339
2001: A Space Odyssey ,0.680999994,0.477999995,0.596666674
White House Down ,0.695000008,0.211749997,0.515749998
Robin Hood: Prince of Thieves ,0.5778,0.514200002,0.554200006
Pineapple Express ,0.745499998,0.578249998,0.585500002
A Madea Christmas ,0.958999991,0.519999981,0.740999997
Big Trouble ,0.288749997,0.719999984,0.479499988
Return to Never Land ,0.607799995,0.453599995,0.529400003
Back to the Future Part II ,0.520499994,0.42566666,0.437166666
The Game ,0.815500021,0.710500002,0.491999999
Basic ,0.665500015,0.206499994,0.443000004
Fight Club ,0.452400006,0.764199984,0.657600009
Land of the Dead ,0.438666664,0.526499992,0.488666674
The Land Girls ,0.635399997,0.485600001,0.525400001
Point Break ,0.502666672,0.387999987,0.456666668
Space Jam ,0.541499998,0.526749991,0.452250011
The Matrix Reloaded ,0.556499988,0.494499996,0.621999979
The One ,0.6435,0.282000005,0.545000017
Moulin Rouge! ,0.561999977,0.400000006,0.381999999
Lord of War ,0.40366665,0.525000006,0.730666677
At First Sight ,0.630333344,0.436666667,0.647666653
Barney's Version ,0.527499989,0.4005,0.488999993
The Social Network ,0.675800002,0.474400008,0.582200009
Eye for an Eye ,0.697666665,0.348,0.511000007
Now You See Me ,0.63499999,0.268999994,0.312000006
9½ Weeks ,0.565999985,0.259499997,0.365500003
Who's Your Caddy? ,0.550500005,0.452500001,0.319499999
I Am Number Four ,0.468499988,0.278750002,0.443999991
"Run, Fatboy, Run ",0.636000007,0.82249999,0.492499992
Mao's Last Dancer ,0.772000015,0.651500016,0.645000011
The Age of Innocence ,0.536166663,0.260333332,0.327833335
Centurion ,0.589999974,0.446999997,0.69599998
Party Monster ,0.540500008,0.887499988,0.571500003
Kung Fu Panda ,0.646000028,0.194000006,0.405999988
Rent ,0.344000012,0.42899999,0.44600001
Admission ,0.794666648,0.507666657,0.65866667
The Perfect Game ,0.873000011,0.659249999,0.697000004
Halloween: The Curse of Michael Myers ,0.076,0.787666678,0.404666672
Going the Distance ,0.371499993,0.379000008,0.431000009
The Fan ,0.698000014,0.379500002,0.296499997
Did You Hear About the Morgans? ,0.71450001,0.4595,0.519500017
Light Sleeper ,0.744000006,0.350799999,0.524800003
Simon Birch ,0.561999977,0.345999986,0.381999999
Twins ,0.724000007,0.417999998,0.527500004
While We're Young ,0.811999977,0.519999981,0.537
Anchorman: The Legend of Ron Burgundy ,0.837000012,0.518999994,0.75
The Exorcism of Emily Rose ,0.514000006,0.628000006,0.471499994
Neighbors ,0.656500012,0.377000004,0.457499996
Snitch ,0.300000012,0.59799999,0.333000004
Captain Corelli's Mandolin ,0.629999995,0.542999998,0.666500017
Nowhere Boy ,0.646000028,0.39199999,0.444999993
Sky Captain and the World of Tomorrow ,0.672399992,0.453999996,0.563800001
The Grudge ,0.121000002,0.631000002,0.392999997
Where the Truth Lies ,0.587400007,0.569000012,0.577800006
Pan ,0.734000027,0.181999996,0.363999993
Road Trip ,0.620999999,0.522250004,0.432750002
It's Kind of a Funny Story ,0.856749997,0.401499998,0.598999992
The Howling ,0.356999993,0.646000028,0.407000005
The Lord of the Rings: The Return of the King ,0.644833316,0.468333329,0.662833343
Charlie Wilson's War ,0.022,0.89200002,0.726999998
One Night with the King ,0.646999991,0.412,0.572000015
The Verdict ,0.324999988,0.68900001,0.800000012
The Polar Express ,0.656599998,0.545999998,0.619400001
Something's Gotta Give ,0.772500008,0.339499995,0.542499989
Despicable Me 2 ,0.145999998,0.709999979,0.254999995
Gigli ,0.815999985,0.754999995,0.593999982
The Place Beyond the Pines ,0.578000009,0.243000001,0.355000004
A Bug's Life ,0.588333329,0.518000007,0.523333336
Young Sherlock Holmes ,0.811999977,0.519999981,0.537
The Angry Birds Movie ,0.591749987,0.543249995,0.477749988
42nd Street ,0.593999982,0.324000001,0.398000002
Days of Thunder ,0.450666666,0.654333333,0.538333337
Monsters University ,0.632000002,0.557999998,0.769799995
Blue Jasmine ,0.626666675,0.195666666,0.288000007
The Green Mile ,0.575500011,0.361499995,0.394500002
Shooting Fish ,0.388749992,0.604999997,0.4705
Crazy in Alabama ,0.197000004,0.875499994,0.288000003
Top Spin ,0.63499999,0.477333337,0.460000008
A Most Violent Year ,0.4038,0.559400004,0.499400002
Letters to God ,0.647666663,0.327166672,0.515666659
Masked and Anonymous ,0.451999998,0.411400008,0.431400001
You Only Live Twice ,0.864000003,0.696999987,0.681666672
Plush ,0.625,0.264999986,0.317999989
Batman & Robin ,0.551999986,0.363000005,0.393000007
Space Cowboys ,0.671666662,0.455666671,0.591666679
The Invention of Lying ,0.510199988,0.664400005,0.590800005
Magic Mike XXL ,0.761666656,0.559666673,0.532000015
"Mystery, Alaska ",0.432500005,0.682999998,0.487000003
Dead Man's Shoes ,0.482571434,0.499999996,0.477571434
Blazing Saddles ,0.600666662,0.624000013,0.566333334
Not Easily Broken ,0.473499995,0.389500007,0.373000011
White Noise ,0.558999995,0.430333336,0.442333331
Scary Movie 5 ,0.525999991,0.646000008,0.490333329
Stick It ,0.441,0.394500002,0.369000003
Speed 2: Cruise Control ,0.638714279,0.611999997,0.729571428
Jeepers Creepers II ,0.42899999,0.558000028,0.365999997
Species ,0.571999997,0.4005,0.647499979
Raging Bull ,0.274000009,0.818333328,0.633333325
Air Bud ,0.560250007,0.315250002,0.371249996
Zero Dark Thirty ,0.270249993,0.474249996,0.400750004
There Goes My Baby ,0.837000012,0.36500001,0.455000013
The Incredibles ,0.856999993,0.796000004,0.90200001
Oliver Twist ,0.338999994,0.478666673,0.35133333
Seven Years in Tibet ,0.614749998,0.293499999,0.43175
Atlas Shrugged II: The Strike ,0.411400002,0.584800005,0.574199998
Dirty Grandpa ,0.479499996,0.378000006,0.317999996
Public Enemies ,0.521200004,0.575400001,0.633200014
Deep Rising ,0.635666668,0.555999994,0.69933333
Dinosaur ,0.448000014,0.629999995,0.596000016
Never Back Down ,0.437999994,0.352999985,0.335999995
The Spiderwick Chronicles ,0.426999986,0.57099998,0.586000025
High Crimes ,0.498333342,0.707666675,0.725000004
Be Kind Rewind ,0.772000005,0.380333329,0.518999994
The Bridge on the River Kwai ,0.656500012,0.357999995,0.562000006
Vacation ,0.598499984,0.49000001,0.497500002
Warriors of Virtue ,0.677000016,0.652999982,0.871000022
The Art of Getting By ,0.774333338,0.520666659,0.682666659
Salt ,0.328000009,0.356000006,0.304999992
World War Z ,0.360666657,0.632666667,0.590666662
Charlie's Angels ,0.916500002,0.228000008,0.68599999
Killer Elite ,0.364500012,0.837500006,0.639999986
The Giver ,0.688000023,0.414999992,0.657999992
The Purge: Anarchy ,0.135499999,0.66049999,0.473499998
Cars 2 ,0.776000023,0.540000021,0.5
Halloween III: Season of the Witch ,0.624199998,0.470199996,0.456999999
Cursed ,0.076,0.787666678,0.404666672
Flight ,0.646000028,0.629999995,0.587000012
Alvin and the Chipmunks ,0.573000014,0.561999977,0.409000009
The Dead Girl ,0.311666672,0.625,0.397000005
The Sweetest Thing ,0.642333329,0.324000001,0.332666665
The Walk ,0.675500005,0.445999995,0.615500003
Deconstructing Harry ,0.519999981,0.409000009,0.389999986
Life as a House ,0.760333339,0.351333335,0.649333338
Young Guns ,0.479499988,0.719999999,0.625
World Trade Center ,0.579799992,0.476600003,0.574199992
Fright Night ,0.393249992,0.594249994,0.381000008
12 Years a Slave ,0.489500001,0.426000006,0.376249999
A Guy Thing ,0.517,0.279666672,0.391333332
The Last of the Mohicans ,0.80400002,0.535000026,0.745000005
Superman III ,0.944999993,0.79400003,0.92900002
Arlington Road ,0.666500002,0.426000014,0.450000003
Fiddler on the Roof ,0.608500004,0.40299999,0.421000004
Police Academy: Mission to Moscow ,0.642333329,0.625333329,0.830666661
Do You Believe? ,0.748400009,0.436999995,0.660399997
The Jerky Boys ,0.439500012,0.464999989,0.401500002
The Crazies ,0.197000004,0.875499994,0.288000003
"Good Night, and Good Luck. ",0.80299999,0.407428571,0.600857139
Survival of the Dead ,0.430400005,0.752199996,0.614800012
Tanner Hall ,0.50999999,0.340000004,0.423999995
Now You See Me 2 ,0.63499999,0.268999994,0.312000006
Interview with the Vampire: The Vampire Chronicles ,0.455749996,0.719749987,0.641500011
Water for Elephants ,0.652666668,0.307666662,0.473666668
Takers ,0.375,0.521000028,0.617999971
Journey 2: The Mysterious Island ,0.63000001,0.603750005,0.507750005
Rock Star ,0.654250011,0.346000012,0.535999991
Brokeback Mountain ,0.683499992,0.533499993,0.591250002
Racing Stripes ,0.521666676,0.366999994,0.467999995
We Bought a Zoo ,0.75999999,0.519999981,0.579999983
The English Patient ,0.583000004,0.193000004,0.340000004
Be Cool ,0.614666671,0.390333345,0.573666662
Austin Powers: The Spy Who Shagged Me ,0.62299999,0.674399996,0.749799997
Under the Skin ,0.569000006,0.349999994,0.395000011
The Astronaut's Wife ,0.838999987,0.615500003,0.671999991
Outbreak ,0.25999999,0.632000029,0.472000003
The 40-Year-Old Virgin ,0.59757142,0.410571435,0.452999996
Beastly ,0.18,0.826999992,0.787499994
Buried ,0.105,0.550499976,0.357999995
The Way of the Gun ,0.438333338,0.585000008,0.519333333
The Jimmy Show ,0.624666651,0.54400002,0.506999989
Crocodile Dundee in Los Angeles ,0.725666672,0.388000006,0.660666664
The Sixth Sense ,0.680666685,0.384333332,0.511000007
I Can Do Bad All by Myself ,0.097333332,0.652333339,0.374000003
The Weather Man ,0.622800004,0.508600003,0.640200001
Blindness ,0.277800003,0.500999999,0.258999997
Paper Towns ,0.53549999,0.210999999,0.459999993
A Few Good Men ,0.873999998,0.388999999,0.652749985
The Departed ,0.450333337,0.458000004,0.492333343
Angel Eyes ,0.7852,0.300000003,0.581
Apocalypse Now ,0.050000001,0.866999984,0.736000001
My Baby's Daddy ,0.816000015,0.382500008,0.595500007
The House of Mirth ,0.750333349,0.35966666,0.577333331
The Internship ,0.589999974,0.50999999,0.481999993
The Sessions ,0.578000009,0.529500008,0.570499986
Escape Plan ,0.602400011,0.581400001,0.626599991
Light It Up ,0.770000011,0.399999999,0.592500001
The Karate Kid ,0.69524999,0.602750003,0.442499995
A Time to Kill ,0.435333336,0.527499994,0.60800001
Vampires ,0.270999998,0.801999986,0.545000017
Black or White ,0.500749998,0.306749992,0.433749989
Jurassic Park ,0.796499997,0.406000003,0.461999997
Don't Say a Word ,0.621499985,0.320250001,0.506249994
Teen Wolf Too ,0.609999994,0.634333352,0.546000004
Submarine ,0.572000027,0.481000006,0.549000025
Sliding Doors ,0.50666668,0.451333339,0.448000004
Babe: Pig in the City ,0.683333337,0.478333344,0.418666671
Exit Wounds ,0.191200002,0.660000002,0.356599998
The Losers ,0.082999997,0.50999999,0.155000001
Mother and Child ,0.923333327,0.397333334,0.615999997
Behind Enemy Lines ,0.445399997,0.404200011,0.434000003
House of Sand and Fog ,0.620200014,0.247,0.413
Baby's Day Out ,0.777999997,0.317000002,0.422000006
Code 46 ,0.512500003,0.326000005,0.578999996
Running Scared ,0.332400003,0.846000004,0.363999999
Semi-Pro ,0.4815,0.407999992,0.497999981
Once Upon a Time in Mexico ,0.620000005,0.316249996,0.55400002
Play It to the Bone ,0.580499999,0.541500002,0.398000002
Fruitvale Station ,0.688000023,0.367000014,0.518999994
Valiant ,0.879999995,0.745000005,0.903999984
Captain America: The First Avenger ,0.346000001,0.752999997,0.74000001
Couples Retreat ,0.627999991,0.472250007,0.530999996
The Godfather: Part II ,0.498199993,0.401399994,0.401999998
Last Action Hero ,0.794249997,0.735250011,0.760249987
The Help ,0.744499981,0.403999999,0.582499996
The Hunting Party ,0.57433334,0.786333323,0.616333326
The Hunger Games: Mockingjay - Part 1 ,0.501571429,0.504571429,0.401857142
Bad Boys ,0.234500006,0.587250002,0.39175
America's Sweethearts ,0.958999991,0.423000008,0.509000003
In Her Line of Fire ,0.443333328,0.493666674,0.502833327
Jaws 2 ,0.442499995,0.518999994,0.4375
Evil Dead II ,0.078333336,0.709999998,0.431000014
Morning Glory ,0.726000011,0.418000008,0.535333325
The Lawnmower Man ,0.604250006,0.544750005,0.613000005
Monster ,0.133000001,0.935000002,0.596000016
Shame ,0.078333334,0.638999999,0.212333332
The Warrior's Way ,0.542000006,0.565999995,0.586666673
Snow Flower and the Secret Fan ,0.61725,0.427916665,0.412166665
Reign of Fire ,0.512749992,0.733500004,0.795249999
Screwed ,0.343499988,0.489999995,0.420499995
The Punisher ,0.122599999,0.770800006,0.506200004
Please Give ,0.850250006,0.418999992,0.666999996
Creed ,0.573000014,0.245000005,0.54400003
Saw VI ,0.316000015,0.541000009,0.518000007
All the Pretty Horses ,0.754999995,0.512999982,0.544999987
The Tigger Movie ,0.757999986,0.493000001,0.471499994
Reign Over Me ,0.74149999,0.5995,0.871500015
Jersey Boys ,0.620000005,0.354499996,0.428000003
Win a Date with Tad Hamilton! ,0.778799987,0.541200003,0.668000001
Glory Road ,0.760333339,0.529000014,0.572333326
"The Goods: Live Hard, Sell Hard ",0.742499995,0.554299992,0.662199998
The Perfect Storm ,0.578499995,0.766500004,0.754000008
The 13th Warrior ,0.458000004,0.862999976,0.915000021
Mulholland Drive ,0.625,0.68900001,0.713
Killing Them Softly ,0.456800002,0.474199997,0.473999995
An Unfinished Life ,0.552999988,0.491500005,0.544
Unknown ,0.356999993,0.449999988,0.203999996
Final Fantasy: The Spirits Within ,0.578399998,0.4897,0.562800002
Jane Got a Gun ,0.147,0.920000017,0.713
The Craft ,0.713499993,0.350500003,0.464999989
Pay It Forward ,0.656666676,0.512333333,0.617333333
The Blues Brothers ,0.700750016,0.255999997,0.430000007
Evil Dead ,0.078333336,0.709999998,0.431000014
"For a Good Time, Call... ",0.711272727,0.40627272,0.58354546
Secretary ,0.611999989,0.425999999,0.56099999
Like Mike ,0.709000003,0.417599994,0.494599998
West Side Story ,0.551333328,0.343666663,0.504333337
The Haunting of Molly Hartley ,0.275999993,0.703500003,0.547999978
The Artist ,0.81099999,0.566750012,0.667500004
Wolf ,0.448000014,0.712000012,0.629999995
Bring It On ,0.63499999,0.460000008,0.462000012
Radio Days ,0.645999998,0.335500002,0.373500004
Annie Get Your Gun ,0.443500005,0.756999999,0.689999998
The Big Tease ,0.451333329,0.701000015,0.531999995
Hot Pursuit ,0.566500008,0.596500009,0.594999999
The Blood of Heroes ,0.579499997,0.745000005,0.73299998
The Stepfather ,0.395999998,0.490999997,0.611000001
Transcendence ,0.642333329,0.659666677,0.768000007
Pain & Gain ,0.365000004,0.65587499,0.515250005
Minions ,0.49000001,0.430000007,0.166999996
The Adventurer: The Curse of the Midas Box ,0.514888884,0.750444444,0.579999997
Payback ,0.458999991,0.5,0.566999972
The Chronicles of Riddick ,0.426999986,0.57099998,0.586000025
Lottery Ticket ,0.727500021,0.559,0.462499991
Bad Moms ,0.304749995,0.573250003,0.440250002
Doom ,0.057,0.752499998,0.3715
The Railway Man ,0.637500003,0.565750003,0.680000015
The Master ,0.773999989,0.5,0.904499978
Sound of My Voice ,0.707249984,0.460750006,0.594250008
Fort McCoy ,0.804499984,0.704999983,0.830000013
The Last Waltz ,0.786500007,0.472500011,0.530000001
Glitter ,0.837000012,0.669,0.790000021
Gods and Generals ,0.674499989,0.395666669,0.667499989
The Secret Life of Bees ,0.521874987,0.517749999,0.514749996
An Everlasting Piece ,0.693000019,0.328999996,0.588000014
The Greatest Story Ever Told ,0.75,0.516499981,0.812999994
The Scarlet Letter ,0.577600002,0.3074,0.406
Teenage Mutant Ninja Turtles III ,0.523600006,0.57759999,0.522200006
Woo ,0.693000019,0.729499996,0.566000015
Bridesmaids ,0.748000026,0.518999994,0.617999971
Spawn ,0.541999996,0.586000025,0.708999991
Dark Blue ,0.326800007,0.380999994,0.373000002
Darling Companion ,0.827499986,0.373500004,0.612999976
Winter's Tale ,0.662999988,0.327500001,0.417999998
The Huntsman: Winter's War ,0.342499994,0.623500004,0.613499999
City of Ghosts ,0.457333326,0.683333337,0.427000006
Chernobyl Diaries ,0.698000014,0.291999996,0.463999987
Extraordinary Measures ,0.615833322,0.422166665,0.570833335
Race ,0.592000008,0.425999999,0.657999992
The Guilt Trip ,0.452999999,0.60133332,0.345666667
The Adventures of Elmo in Grouchland ,0.869749993,0.839499995,0.762249991
One Man's Hero ,0.694000006,0.503000001,0.678000008
Jurassic Park III ,0.796499997,0.406000003,0.461999997
Derailed ,0.108000003,0.801999986,0.375
Men of Honor ,0.93233335,0.482000003,0.806333323
The Shadow ,0.301999986,0.342999995,0.158000007
Young Adult ,0.813499987,0.505499989,0.662
Tuck Everlasting ,0.553500012,0.442999989,0.585000008
Jaws: The Revenge ,0.371666665,0.659333328,0.500666658
Eddie the Eagle ,0.551999986,0.493999988,0.514500007
Frances Ha ,0.709999979,0.451000005,0.639999986
Drop Dead Gorgeous ,0.398500007,0.545999996,0.445000008
Dumb and Dumber To ,0.187999994,0.330000013,0.150999993
The Forsaken ,0.050000001,0.49000001,0.192000002
Bachelorette ,0.735000014,0.779999971,0.465000004
Slumdog Millionaire ,0.916999996,0.754999995,0.850000024
Smokin' Aces ,0.643000007,0.481000006,0.546000004
Kingdom of Heaven ,0.814999998,0.414249994,0.726250023
Superhero Movie ,0.808666666,0.601999998,0.611999998
L.A. Confidential ,0.647666673,0.456999997,0.679
Street Fighter ,0.615500003,0.541999996,0.648000002
Shine ,0.864499986,0.605999976,0.776499987
Big Miracle ,0.880333324,0.643333336,0.769999981
Kingdom of the Spiders ,0.400999993,0.603999992,0.569333345
One for the Money ,0.710333327,0.390666664,0.639000018
Easy A ,0.86500001,0.194000006,0.372999996
Hotel Transylvania 2 ,0.74000001,0.370000005,0.407000005
